src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.16.0.53,172.16.0.170,445,54053,18:66:da:6f:2e:f0,00:12:f0:64:d1:d9,6,2022/2/23 10:29,294.0,411564.6259,6802.721088,3401.360544,3401.360544,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,256,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
172.16.0.170,172.16.0.52,64852,53,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,17,2022/2/23 10:29,227.0,1427312.775,8810.572687,4405.286344,4405.286344,1,1,128,196,128.0,128.0,128.0,0.0,196.0,196.0,196.0,0.0,196,128,162.0,34.0,1156.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,162.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,196.0,0,1,1,128,196
172.16.0.170,172.16.0.52,64853,389,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,17,2022/2/23 10:29,230.0,2230434.783,8695.652174,4347.826087,4347.826087,1,1,269,244,269.0,269.0,269.0,0.0,244.0,244.0,244.0,0.0,269,244,256.5,12.5,156.25,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,256.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,244.0,0,1,1,269,244
172.16.0.170,172.16.0.52,54089,135,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,6,2022/2/23 10:29,23710.0,63770.56094,421.7629692,253.0577815,168.7051877,6,4,832,680,222.0,54.0,138.6666667,80.80979039,226.0,66.0,170.0,65.48282217,226,54,151.2,76.60913784,5868.96,120,80,20,3,2634.444444,14136.0,159.0,4593.770543,23710.0,14374.0,323.0,4742.0,5485.995735,9410.0,7367.0,509.0,3136.666667,3020.42451,0,0,0,0,1,0,0,0,0,0,0,0.666666667,151.2,64240,8211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.6666667,170.0,0,6,4,832,680
172.16.0.170,172.16.0.52,54090,49667,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,6,2022/2/23 10:29,20088.0,340850.2589,1095.181203,597.3715651,497.8096376,12,10,4426,2421,1514.0,54.0,368.8333333,397.0108801,450.0,54.0,242.1,131.9366894,1514,54,311.2272727,312.838316,97867.81198,240,200,20,9,956.5714286,12506.0,8.0,2608.074469,20088.0,12654.0,8.0,1826.181818,3461.330428,7446.0,1819.0,487.0,827.3333333,442.5567133,0,0,0,0,1,0,0,0,0,0,0,0.833333333,311.2272727,64240,8212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.8333333,242.1,0,12,10,4426,2421
172.16.0.170,172.16.0.52,54091,389,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,6,2022/2/23 10:29,9202.0,828950.2282,2282.112584,1195.392306,1086.720278,11,10,3567,4061,1514.0,54.0,324.2727273,421.2580921,1514.0,54.0,406.1,533.1272737,1514,54,363.2380952,479.5514675,229969.61,220,200,20,7,460.1,5429.0,8.0,1149.397229,9128.0,5571.0,8.0,912.8,1572.017481,9047.0,5563.0,8.0,1005.222222,1628.932628,0,0,0,0,1,0,0,0,0,0,0,0.909090909,363.2380952,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.2727273,406.1,0,11,10,3567,4061
172.16.0.170,172.16.0.52,54092,389,00:12:f0:64:d1:d9,00:1e:4f:0e:a8:74,6,2022/2/23 10:29,3787.0,1859519.409,4753.10272,2376.55136,2376.55136,9,9,2967,4075,1514.0,54.0,329.6666667,464.0926632,1514.0,54.0,452.7777778,575.1652473,1514,54,391.2222222,526.2011187,276887.6173,180,180,20,5,222.7647059,883.0,8.0,222.4895317,3715.0,1092.0,8.0,464.375,361.3433054,3668.0,1151.0,20.0,458.5,384.4746416,0,0,0,0,1,0,0,0,0,0,0,1.0,391.2222222,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.6666667,452.7777778,0,9,9,2967,4075
172.16.0.149,172.16.0.52,62839,53,00:1b:fc:7b:d1:c0,00:1e:4f:0e:a8:74,17,2022/2/23 10:29,67070.0,3324.884449,29.81959147,14.90979574,14.90979574,1,1,82,141,82.0,82.0,82.0,0.0,141.0,141.0,141.0,0.0,141,82,111.5,29.5,870.25,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,111.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,141.0,0,1,1,82,141
172.16.0.149,172.16.0.52,56533,53,00:1b:fc:7b:d1:c0,00:1e:4f:0e:a8:74,17,2022/2/23 10:29,107388.0,2914.664581,18.62405483,9.312027415,9.312027415,1,1,83,230,83.0,83.0,83.0,0.0,230.0,230.0,230.0,0.0,230,83,156.5,73.5,5402.25,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,156.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,230.0,0,1,1,83,230
172.16.0.149,40.83.240.146,49774,443,00:1b:fc:7b:d1:c0,00:09:12:96:5d:c9,6,2022/2/23 10:29,584896.0,14453.85162,49.58146406,22.22617354,27.35529051,13,16,2963,5491,1147.0,54.0,227.9230769,289.6213606,1514.0,54.0,343.1875,489.9618887,1514,54,291.5172414,416.3362882,173335.9049,260,320,20,6,20889.14286,85993.0,57.0,32681.81671,584896.0,146590.0,299.0,48741.33333,54271.14139,436384.0,85993.0,162.0,29092.26667,37100.011,0,0,0,0,1,0,0,0,0,0,0,1.230769231,291.5172414,64240,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3911.0,4.0,0.0,453344.1521,227.9230769,343.1875,0,13,16,2963,5491
