src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.88.128,192.168.88.129,41972,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:05,24746.0,152630.7281984967,484.92685686575606,282.8739998383577,202.05285702739837,7,5,1696,2081,1042.0,82.0,242.28571428571428,326.9153294861855,1146.0,101.0,416.2,410.5744268704518,1146,82,314.75,374.07555497965024,139932.52083333334,140,100,20,7,2249.6363636363635,8866.0,56.0,2978.8691958443583,24746.0,10319.0,255.00000000000003,4124.333333333333,4088.9419848605767,14604.0,7965.0,802.0,3651.0,2734.594211213064,0,0,0,0,1,0,0,0,0,0,0,0.7142857142857143,314.75,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.28571428571428,416.2,0,7,5,1696,2081
192.168.88.128,192.168.88.129,41978,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:05,20137425.0,263.1418863136672,1.1421519881514146,0.5959053851224771,0.5462466030289373,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,915337.5,3654646.0,102.0,1532575.090178166,16483542.0,3656473.0,308.0,1498503.8181818181,1708093.257653043,20120766.0,3656694.0,734.0,2012076.6,1722465.061658912,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827350.0,1827226.0,1827288.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41976,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:05,20159948.0,262.8479002029172,1.1408759586086235,0.5952396305784122,0.5456363280302112,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,916361.2727272727,3654832.0,231.0,1532139.899586884,16505855.0,3667199.0,289.0,1500532.2727272727,1710734.471902431,20145921.0,3667110.0,1286.0,2014592.1,1724425.6898780793,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827828.0,1827004.0,1827416.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41992,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:05,20148673.0,262.994987312564,1.141514381617092,0.5955727208437003,0.5459416607733919,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,915848.7727272727,3654440.0,130.0,1532142.7366602076,16494583.0,3656235.0,253.00000000000003,1499507.5454545454,1708210.762199568,20132770.0,3665566.0,787.0,2013277.0,1723172.4221815413,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827487.0,1826953.0,1827220.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,42008,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:05,20136362.0,263.1557775927946,1.1422122824371157,0.595936843010669,0.5462754394264466,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,915289.1818181818,3654822.0,154.0,1532674.3889201004,16482266.0,3656471.0,229.0,1498387.8181818181,1708193.2585372617,20121998.0,3656774.0,733.0,2012199.8,1722357.3357786587,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827429.0,1827393.0,1827411.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41632,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:54,21972763.0,241.1622061367521,1.046750470116116,0.5461306800605823,0.5006197900555337,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998761.9545454546,3655074.0,56.0,1626095.8428224355,18319307.0,3657146.0,253.00000000000003,1665391.5454545454,1816858.5425264507,21946230.0,3656846.0,820.0,2194623.0,1788988.6443593206,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41640,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:54,21968430.0,241.2097723870117,1.046956928647154,0.5462383975550369,0.5007185310921172,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998565.0,3654321.0,188.0,1626043.714680848,18314670.0,3662434.0,188.0,1664970.0,1818743.8317069283,21955685.0,3662539.0,1221.0,2195568.5,1789594.6950217667,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41650,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:54,21972109.0,241.1693843317453,1.0467816266522254,0.5461469356446393,0.5006346910075861,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998732.2272727273,3655049.0,121.0,1626173.0578559123,18317060.0,3665119.0,187.0,1665187.2727272727,1819986.270726343,21963959.0,3665283.0,689.0,2196395.9,1790459.630600168,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,41660,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:48:54,21975308.0,241.1342767072935,1.0466292440588318,0.5460674316828689,0.5005618123759631,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,998877.6363636364,3654786.0,67.0,1626056.5982580665,18320522.0,3665413.0,272.0,1665502.0,1820017.1168720564,21965376.0,3665178.0,834.0,2196537.6,1790585.145728915,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,39684,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:49:44,16480467.999999998,321.5321312477292,1.3955914358742727,0.7281346621952727,0.6674567736789999,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,749112.1818181818,3654148.0,99.0,1309562.73740459,14652243.0,3655402.0,317.0,1332022.0909090908,1574104.8406745314,16467068.0,3655939.0,877.0,1646706.8,1516526.699830425,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,1827087.0,1826040.0,1826563.5,523.5,3654148.0,1825826.0,2435597.3333333335,861645.5347923272,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,39700,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:49:44,16476630.0,321.60702765067856,1.3959165193367817,0.728304270958321,0.6676122483784609,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,748937.7272727273,3654476.0,216.0,1309820.7580598118,14649394.0,3655948.0,216.0,1331763.0909090908,1574672.8415552606,16468239.0,3655913.0,923.0,1646823.9,1516629.4496418992,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,1826676.0,1826031.0,1826353.5,322.5,3654257.0,1826246.0,2435727.6666666665,861630.3728917381,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,39714,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:49:44,16488024.0,321.38478206970103,1.3949518753733012,0.7278009784556355,0.6671508969176658,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,749455.6363636364,3654486.0,116.0,1309404.2174372333,14660257.0,3666673.0,216.0,1332750.6363636365,1576224.6658544743,16479601.0,3656122.0,692.0,1647960.1,1516559.70704786,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,1826826.0,1826739.0,1826782.5,43.5,3654073.0,1825947.0,2435724.0,861502.9802064917,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,39718,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:49:44,16475918.0,321.62092576571456,1.3959768432933448,0.7283357443269626,0.6676410989663824,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,748905.3636363636,3654128.0,56.0,1309632.4760374064,14648452.0,3655962.0,290.0,1331677.4545454546,1574573.3833046716,16466848.0,3655920.0,869.0,1646684.8,1516587.1181176372,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,1826907.0,1826217.0,1826562.0,345.0,3653705.0,1826640.0,2435696.3333333335,861262.1887905112,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,51480,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:50:31,18305299.0,289.4790191627025,1.2564667750032381,0.6555478826103851,0.600918892392853,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,832059.0454545454,3654460.0,103.0,1427940.354589036,14651270.0,3656102.0,268.0,1331933.6363636365,1574216.410444561,18292813.0,3655926.0,861.0,1829281.3,1632979.3440554629,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827192.0,1826418.0,1826704.0,346.76793392699966,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,51482,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:50:31,18299170.0,289.5759753037979,1.2568876074707214,0.6557674473760285,0.6011201600946928,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,831780.4545454546,3654049.0,105.0,1427990.9095824335,14645121.0,3655708.0,317.0,1331374.6363636365,1574577.6457628408,18290760.0,3655921.0,935.0,1829076.0,1633002.7994690028,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827075.0,1826803.0,1826939.3333333333,111.04453561021762,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
192.168.88.128,192.168.88.129,51486,22,00:0c:29:57:61:e7,00:0c:29:d1:83:30,6,2022-10-18 23:50:31,18311278.0,289.38449844953476,1.2560565133684278,0.6553338330617884,0.6007226803066393,12,11,2478,2821,1042.0,82.0,206.5,253.0482496810967,1146.0,101.0,256.45454545454544,312.9958941456998,1146,82,230.3913043478261,284.40276692998106,80884.93383742911,240,220,20,12,832330.8181818182,3654668.0,81.0,1427792.1326093157,14656610.0,3656075.0,317.0,1332419.0909090908,1574843.755768775,18302838.0,3665247.0,940.0,1830283.8,1634446.7366848516,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,230.3913043478261,502,502,0.0,0.0,0.0,0.0,1827110.0,1826547.0,1826814.3333333333,230.71531278949726,0.0,0.0,0.0,0.0,0.0,0.0,206.5,256.45454545454544,0,12,11,2478,2821
